,Start_date_of_CEWS_period,RegionCode,RegionName,RuralUrbanFlag,CMACAFlag,Number_business_locations,Subsidy_amount,Supported_employees,CEWS_rehire_count,province_regionCode,province_regionName
3,2020-03-15,1000000,Newfoundland and Labrador - rural part undetermined CSD,RURAL,Not applicable,5,"11,000",4,0,10,Newfoundland and Labrador
7,2020-03-15,1001113,Trepassey,RURAL,Not applicable,0,0,,0,10,Newfoundland and Labrador
8,2020-03-15,1001124,"Division No.  1, Subd. U",RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
9,2020-03-15,1001126,Cape Broyle,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
10,2020-03-15,1001136,Fermeuse,RURAL,Not applicable,5,"35,000",17,0,10,Newfoundland and Labrador
11,2020-03-15,1001149,Ferryland,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
12,2020-03-15,1001169,St. Vincent's-St. Stephen's-Peter's River,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
13,2020-03-15,1001197,Mount Carmel-Mitchells Brook-St. Catherine's,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
14,2020-03-15,1001203,"Division No.  1, Subd. X",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
15,2020-03-15,1001228,St. Bride's,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
16,2020-03-15,1001234,"Division No.  1, Subd. B",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
17,2020-03-15,1001240,Placentia,RURAL,Not applicable,20,"779,000",305,0,10,Newfoundland and Labrador
18,2020-03-15,1001254,Fox Harbour,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
19,2020-03-15,1001270,Arnold's Cove,RURAL,Not applicable,5,"108,000",41,0,10,Newfoundland and Labrador
20,2020-03-15,1001274,Come By Chance,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
21,2020-03-15,1001277,Sunnyside,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
22,2020-03-15,1001281,Chance Cove,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
23,2020-03-15,1001285,Norman's Cove-Long Cove,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
24,2020-03-15,1001289,Chapel Arm,RURAL,Not applicable,5,"25,000",13,0,10,Newfoundland and Labrador
25,2020-03-15,1001293,"Division No.  1, Subd. Y",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
26,2020-03-15,1001298,Whitbourne,RURAL,Not applicable,15,"134,000",137,5,10,Newfoundland and Labrador
27,2020-03-15,1001304,"Division No.  1, Subd. E",RURAL,Not applicable,15,"239,000",155,0,10,Newfoundland and Labrador
28,2020-03-15,1001308,Whiteway,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
29,2020-03-15,1001312,Heart's Delight-Islington,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
30,2020-03-15,1001316,Heart's Desire,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
31,2020-03-15,1001325,Heart's Content,RURAL,Not applicable,5,"23,000",13,0,10,Newfoundland and Labrador
32,2020-03-15,1001332,Winterton,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
33,2020-03-15,1001339,"Division No.  1, Subd. G",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
34,2020-03-15,1001343,Old Perlican,RURAL,Not applicable,5,,,0,10,Newfoundland and Labrador
35,2020-03-15,1001347,Bay de Verde,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
36,2020-03-15,1001365,Victoria,RURAL,Not applicable,5,"19,000",14,0,10,Newfoundland and Labrador
37,2020-03-15,1001370,Carbonear,RURAL,Not applicable,45,"476,000",257,10,10,Newfoundland and Labrador
38,2020-03-15,1001379,Harbour Grace,RURAL,Not applicable,20,"497,000",245,0,10,Newfoundland and Labrador
39,2020-03-15,1001385,Upper Island Cove,URBAN,Not applicable,5,"22,000",10,0,10,Newfoundland and Labrador
40,2020-03-15,1001396,Spaniard's Bay,URBAN,Not applicable,10,"87,000",46,0,10,Newfoundland and Labrador
41,2020-03-15,1001409,Bay Roberts,URBAN,Not applicable,55,"702,000",402,10,10,Newfoundland and Labrador
42,2020-03-15,1001415,"Division No.  1, Subd. L",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
43,2020-03-15,1001429,Clarke's Beach,RURAL,Not applicable,5,"45,000",21,0,10,Newfoundland and Labrador
44,2020-03-15,1001434,South River,RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
45,2020-03-15,1001452,"Division No.  1, Subd. O",RURAL,Not applicable,0,,,0,10,Newfoundland and Labrador
