,Start_date_of_CEWS_period,RegionCode,RegionName,Number_business_locations,Subsidy_amount,Supported_employees,CEWS_rehire_count
98,2020-03-15,10,Newfoundland and Labrador,"3,835","71,687,000","36,751",385
2648,2020-03-15,11,Prince Edward Island,"1,405","22,813,000","12,427",115
4006,2020-03-15,12,Nova Scotia,"7,100","134,082,000","70,253",715
6736,2020-03-15,13,New Brunswick,"5,865","105,072,000","52,785",540
10618,2020-03-15,24,Quebec,"59,980","1,396,578,000","678,340","8,335"
29723,2020-03-15,35,Ontario,"112,875","3,080,925,000","1,437,847","10,915"
45425,2020-03-15,46,Manitoba,"8,270","204,550,000","104,458",665
48040,2020-03-15,47,Saskatchewan,"8,275","169,164,000","80,726",745
52416,2020-03-15,48,Alberta,"39,515","1,252,999,000","529,056","3,275"
59327,2020-03-15,59,British Columbia,"46,135","994,156,000","475,527","4,770"
69888,2020-03-15,60,Yukon,360,"7,492,000","3,535",40
70292,2020-03-15,61,Northwest Territories,330,"13,201,000","4,992",15
70696,2020-03-15,62,Nunavut,125,"7,277,000","2,517",5
71365,2020-04-12,10,Newfoundland and Labrador,"4,260","80,982,000","35,188",410
74112,2020-04-12,11,Prince Edward Island,"1,565","26,426,000","12,282",135
75564,2020-04-12,12,Nova Scotia,"8,185","168,536,000","74,082",920
78507,2020-04-12,13,New Brunswick,"6,715","140,348,000","61,567",725
82722,2020-04-12,24,Quebec,"74,750","1,956,800,000","833,230","10,625"
104526,2020-04-12,35,Ontario,"126,015","3,699,334,000","1,504,965","13,795"
121100,2020-04-12,46,Manitoba,"9,305","245,438,000","107,280",990
123911,2020-04-12,47,Saskatchewan,"9,235","195,734,000","82,162","1,075"
128539,2020-04-12,48,Alberta,"43,915","1,416,516,000","541,167","4,550"
135828,2020-04-12,59,British Columbia,"51,770","1,153,457,000","481,023","5,655"
146971,2020-04-12,60,Yukon,415,"8,155,000","3,515",45
147406,2020-04-12,61,Northwest Territories,350,"12,101,000","4,332",20
147811,2020-04-12,62,Nunavut,115,"7,902,000","2,713",0
148473,2020-05-10,10,Newfoundland and Labrador,"4,155","94,202,000","39,918",550
151262,2020-05-10,11,Prince Edward Island,"1,700","33,919,000","15,757",225
152764,2020-05-10,12,Nova Scotia,"8,180","178,199,000","80,237","1,055"
155654,2020-05-10,13,New Brunswick,"6,985","164,432,000","73,325",895
159947,2020-05-10,24,Quebec,"77,080","2,357,575,000","981,842","10,790"
182266,2020-05-10,35,Ontario,"121,905","3,771,701,000","1,546,311","16,115"
198679,2020-05-10,46,Manitoba,"8,770","245,367,000","109,474","1,145"
201403,2020-05-10,47,Saskatchewan,"8,725","188,529,000","80,437","1,100"
205928,2020-05-10,48,Alberta,"42,935","1,439,199,000","560,453","5,365"
213026,2020-05-10,59,British Columbia,"50,595","1,147,230,000","513,069","7,080"
223973,2020-05-10,60,Yukon,400,"7,737,000","3,398",55
224399,2020-05-10,61,Northwest Territories,325,"11,574,000","4,133",35
224787,2020-05-10,62,Nunavut,110,"8,045,000","2,812",10
225432,2020-06-07,10,Newfoundland and Labrador,"3,770","94,977,000","40,189",470
228168,2020-06-07,11,Prince Edward Island,"1,605","34,178,000","16,448",180
229663,2020-06-07,12,Nova Scotia,"7,190","168,369,000","78,947",920
