,Period,RegionCode,Region,GeographicClassification,CensusLevel,IndustryCode,Industry,BusinessLocations,Subsidy,SupportedEmployees,RehiredEmployees
98,2020-03-15,10,Newfoundland and Labrador,Not applicable,Not applicable,TOTAL,All Industries,3835.0,71687000.0,36751.0,385.0
2648,2020-03-15,11,Prince Edward Island,Not applicable,Not applicable,TOTAL,All Industries,1405.0,22813000.0,12427.0,115.0
4006,2020-03-15,12,Nova Scotia,Not applicable,Not applicable,TOTAL,All Industries,7100.0,134082000.0,70253.0,715.0
6736,2020-03-15,13,New Brunswick,Not applicable,Not applicable,TOTAL,All Industries,5865.0,105072000.0,52785.0,540.0
10618,2020-03-15,24,Quebec,Not applicable,Not applicable,TOTAL,All Industries,59980.0,1396578000.0,678340.0,8335.0
29723,2020-03-15,35,Ontario,Not applicable,Not applicable,TOTAL,All Industries,112875.0,3080925000.0,1437847.0,10915.0
45425,2020-03-15,46,Manitoba,Not applicable,Not applicable,TOTAL,All Industries,8270.0,204550000.0,104458.0,665.0
48040,2020-03-15,47,Saskatchewan,Not applicable,Not applicable,TOTAL,All Industries,8275.0,169164000.0,80726.0,745.0
52416,2020-03-15,48,Alberta,Not applicable,Not applicable,TOTAL,All Industries,39515.0,1252999000.0,529056.0,3275.0
59327,2020-03-15,59,British Columbia,Not applicable,Not applicable,TOTAL,All Industries,46135.0,994156000.0,475527.0,4770.0
69888,2020-03-15,60,Yukon,Not applicable,Not applicable,TOTAL,All Industries,360.0,7492000.0,3535.0,40.0
70292,2020-03-15,61,Northwest Territories,Not applicable,Not applicable,TOTAL,All Industries,330.0,13201000.0,4992.0,15.0
70696,2020-03-15,62,Nunavut,Not applicable,Not applicable,TOTAL,All Industries,125.0,7277000.0,2517.0,5.0
71365,2020-04-12,10,Newfoundland and Labrador,Not applicable,Not applicable,TOTAL,All Industries,4260.0,80982000.0,35188.0,410.0
74112,2020-04-12,11,Prince Edward Island,Not applicable,Not applicable,TOTAL,All Industries,1565.0,26426000.0,12282.0,135.0
75564,2020-04-12,12,Nova Scotia,Not applicable,Not applicable,TOTAL,All Industries,8185.0,168536000.0,74082.0,920.0
78507,2020-04-12,13,New Brunswick,Not applicable,Not applicable,TOTAL,All Industries,6715.0,140348000.0,61567.0,725.0
82722,2020-04-12,24,Quebec,Not applicable,Not applicable,TOTAL,All Industries,74750.0,1956800000.0,833230.0,10625.0
104526,2020-04-12,35,Ontario,Not applicable,Not applicable,TOTAL,All Industries,126015.0,3699334000.0,1504965.0,13795.0
121100,2020-04-12,46,Manitoba,Not applicable,Not applicable,TOTAL,All Industries,9305.0,245438000.0,107280.0,990.0
123911,2020-04-12,47,Saskatchewan,Not applicable,Not applicable,TOTAL,All Industries,9235.0,195734000.0,82162.0,1075.0
128539,2020-04-12,48,Alberta,Not applicable,Not applicable,TOTAL,All Industries,43915.0,1416516000.0,541167.0,4550.0
135828,2020-04-12,59,British Columbia,Not applicable,Not applicable,TOTAL,All Industries,51770.0,1153457000.0,481023.0,5655.0
146971,2020-04-12,60,Yukon,Not applicable,Not applicable,TOTAL,All Industries,415.0,8155000.0,3515.0,45.0
147406,2020-04-12,61,Northwest Territories,Not applicable,Not applicable,TOTAL,All Industries,350.0,12101000.0,4332.0,20.0
147811,2020-04-12,62,Nunavut,Not applicable,Not applicable,TOTAL,All Industries,115.0,7902000.0,2713.0,0.0
148473,2020-05-10,10,Newfoundland and Labrador,Not applicable,Not applicable,TOTAL,All Industries,4155.0,94202000.0,39918.0,550.0
151262,2020-05-10,11,Prince Edward Island,Not applicable,Not applicable,TOTAL,All Industries,1700.0,33919000.0,15757.0,225.0
152764,2020-05-10,12,Nova Scotia,Not applicable,Not applicable,TOTAL,All Industries,8180.0,178199000.0,80237.0,1055.0
155654,2020-05-10,13,New Brunswick,Not applicable,Not applicable,TOTAL,All Industries,6985.0,164432000.0,73325.0,895.0
159947,2020-05-10,24,Quebec,Not applicable,Not applicable,TOTAL,All Industries,77080.0,2357575000.0,981842.0,10790.0
182266,2020-05-10,35,Ontario,Not applicable,Not applicable,TOTAL,All Industries,121905.0,3771701000.0,1546311.0,16115.0
198679,2020-05-10,46,Manitoba,Not applicable,Not applicable,TOTAL,All Industries,8770.0,245367000.0,109474.0,1145.0
201403,2020-05-10,47,Saskatchewan,Not applicable,Not applicable,TOTAL,All Industries,8725.0,188529000.0,80437.0,1100.0
205928,2020-05-10,48,Alberta,Not applicable,Not applicable,TOTAL,All Industries,42935.0,1439199000.0,560453.0,5365.0
213026,2020-05-10,59,British Columbia,Not applicable,Not applicable,TOTAL,All Industries,50595.0,1147230000.0,513069.0,7080.0
223973,2020-05-10,60,Yukon,Not applicable,Not applicable,TOTAL,All Industries,400.0,7737000.0,3398.0,55.0
224399,2020-05-10,61,Northwest Territories,Not applicable,Not applicable,TOTAL,All Industries,325.0,11574000.0,4133.0,35.0
224787,2020-05-10,62,Nunavut,Not applicable,Not applicable,TOTAL,All Industries,110.0,8045000.0,2812.0,10.0
