GEO,North American Industry Classification System (NAICS),VALUE
Canada,Construction [23],1134.4
Canada,Manufacturing [31-33],1406.6
Canada,Accommodation and food services [72],822.1
Newfoundland and Labrador,Construction [23],8.7
Newfoundland and Labrador,Manufacturing [31-33],4.6
Newfoundland and Labrador,Accommodation and food services [72],8.8
Prince Edward Island,Construction [23],3.9
Prince Edward Island,Manufacturing [31-33],3.3
Prince Edward Island,Accommodation and food services [72],3.2
Nova Scotia,Construction [23],21.3
Nova Scotia,Manufacturing [31-33],17.6
Nova Scotia,Accommodation and food services [72],20.7
New Brunswick,Construction [23],14.3
New Brunswick,Manufacturing [31-33],16.5
New Brunswick,Accommodation and food services [72],14.6
Quebec,Construction [23],203.7
Quebec,Manufacturing [31-33],372.9
Quebec,Accommodation and food services [72],161.3
Ontario,Construction [23],437.0
Ontario,Manufacturing [31-33],667.6
Ontario,Accommodation and food services [72],308.0
Manitoba,Construction [23],34.4
Manitoba,Manufacturing [31-33],49.4
Manitoba,Accommodation and food services [72],29.8
Saskatchewan,Construction [23],27.9
Saskatchewan,Manufacturing [31-33],23.6
Saskatchewan,Accommodation and food services [72],23.2
Alberta,Construction [23],183.5
Alberta,Manufacturing [31-33],103.9
Alberta,Accommodation and food services [72],100.2
British Columbia,Construction [23],199.5
British Columbia,Manufacturing [31-33],147.2
British Columbia,Accommodation and food services [72],152.1
